covariate,domain,tier,recommended_grain,primary_source,expected_accessibility,current_schema_status,provenance_fields,notes
wound_perimeter_mm,wound_geometry,2,treatment_or_observation,paper_or_derived,medium_low,present_source_level_sparse,"raw_value; units; derivation; evidence_quote","High value where reported; sparse in source-level table."
perimeter_area_ratio,wound_geometry,2,treatment_or_observation,derived,medium_low,absent,"area_mm2; perimeter_mm; formula; derivation_status","Derive only when both perimeter and area are credible."
lesion_depth_mm,wound_design,2,treatment,paper,medium,present_as_lesion_depth_source_level,"raw_value; units; qualitative_depth; evidence_quote","Convert 3 mm drill depth when explicit; flag qualitative scraping."
lesion_position_standard,wound_design,2,treatment,paper,high,present_source_level,"position_raw; position_standard; evidence_quote","Top, side, base, branch tip, apical, center, underside."
num_lesions_per_colony,wound_design,2,treatment_or_observation,paper,high,present_source_level,"raw_value; units; evidence_quote","Separate lesions per colony from colonies per treatment."
lesion_spacing_cm,wound_design,2,treatment,paper,low_medium,absent,"spacing_raw; spacing_cm; configuration; evidence_quote","Core only for clustered/spaced lesion designs."
depth_m,environment,2,source_or_treatment,paper,high,present_source_level,"depth_raw; min_m; max_m; mean_m; evidence_quote","Use treatment-level for depth-gradient studies."
pH,environment,2,treatment,paper,medium,partial_in_ph_or_pco2,"pH_value; pH_scale; evidence_quote","Record scale where reported."
pCO2_uatm,environment,2,treatment,paper,medium,partial_in_ph_or_pco2,"pco2_value; units; chemistry_table_reference; evidence_quote","Do not conflate pH and pCO2."
omega_arag,environment,2,treatment,paper,low_medium,absent,"omega_arag; chemistry_table_reference; evidence_quote","Useful in acidification studies."
nutrient_treatment,environment,2,treatment,paper,low_medium,present_source_level,"nutrient_raw; standard_code; evidence_quote","Separate nitrate, ammonium, phosphate, fish-derived enrichment."
nutrient_concentration,environment,2,treatment,paper,low_medium,partial_in_nutrient_enrich,"compound; concentration; units; evidence_quote","Needed before comparing nutrient effects."
light_PAR,environment,2,source_or_treatment,paper,medium,present_source_level,"raw_value; units; photoperiod; evidence_quote","Field PAR and lab photoperiod are not equivalent."
flow_speed,environment,2,treatment_or_source,paper,medium_low,partial_in_flow_regime,"raw_value; units; method; evidence_quote","Record method: clod card, ADCP, flow meter, wave model."
sedimentation,environment,2,treatment_or_source,paper,medium,present_source_level_sparse,"raw_value; units; method; evidence_quote","Sediment trap, turbidity, and visual cover are different metrics."
symbiotic_state,intrinsic_state,2,treatment_or_observation,paper,medium,present_source_level_sparse,"state_raw; state_standard; method; evidence_quote","Critical for Astrangia and bleaching studies."
symbiont_density,intrinsic_state,2,treatment_or_observation,paper,medium_low,absent,"density; units; assay_method; evidence_quote","Only extract when assayed or clearly reported."
bleaching_status,biotic_context,2,treatment_or_source,paper,medium,absent,"status_raw; severity; method; evidence_quote","Can be stressor, response context, or pre-existing colony condition."
disease_status,biotic_context,2,treatment_or_source,paper,medium,absent,"status_raw; disease_name; method; evidence_quote","Separate disease-origin lesions from post-wound infection."
algal_competition,biotic_context,2,treatment_or_observation,paper,medium,absent,"algae_raw; cover_value; units; evidence_quote","Can be lesion colonization or imposed competition."
predator_context,biotic_context,2,treatment_or_source,paper,high,absent,"predator_raw; standard_code; natural_or_simulated; evidence_quote","Distinguish corallivory source from simulated injury method."
season,environment,2,source_or_treatment,paper,medium,absent,"season_raw; hemisphere; date_range; evidence_quote","Standardize cautiously."
genus,taxon_trait,3,taxon_trait_table,taxon_lookup,high_external,present_model_covariate_layer,"taxon_canonical; taxonomic_authority; match_status","Parsed from reported taxon and validated through the model covariate layer."
family,taxon_trait,3,taxon_trait_table,taxon_lookup,high_external,present_model_covariate_layer,"taxon_canonical; taxonomic_authority; match_status","Populated from the WoRMS-backed taxon trait lookup in the model covariate layer."
growth_form_standard,taxon_trait,3,taxon_trait_table,external_trait_lookup,high_external,present_model_covariate_layer,"trait_source; trait_value; trait_confidence","Raw source growth form is standardized in the model covariate layer."
skeletal_porosity,taxon_trait,3,taxon_trait_table,external_trait_lookup,high_external,partial_model_covariate_layer,"trait_source; trait_value; trait_confidence","Conservatively populated only for unambiguous rows; full coverage still needs an external morphology trait lookup."
life_history_strategy,taxon_trait,3,taxon_trait_table,external_trait_lookup,high_external,absent,"trait_source; trait_framework; trait_value","Use published framework rather than ad hoc paper labels."
tissue_thickness_mm,taxon_trait,3,taxon_trait_table,external_trait_lookup,medium_external,absent,"trait_source; value_mm; taxonomic_level","Likely genus/species averages, not paper-level values."
polyp_or_corallite_size,taxon_trait,3,taxon_trait_table,external_trait_lookup,medium_external,absent,"trait_source; metric; value; units","Extract from paper only if directly measured."
